1.6461,-1.2886,-0.82501,0.54282,0.94248
1.6461,-1.2178,-0.85137,0.49837,0.94248
1.6461,-1.1541,-0.86249,0.4458,0.94248
1.6461,-1.0977,-0.85879,0.38574,0.94248
1.6461,-1.0491,-0.84015,0.31849,0.94248
1.6461,-1.0091,-0.80579,0.24406,0.94248
1.6461,-0.97873,-0.75403,0.16196,0.94248
1.6461,-0.96004,-0.68166,0.070902,0.94248
1.6461,-0.95657,-0.58209,-0.032142,0.94248
1.6461,-0.97683,-0.4387,-0.15526,0.94248
1.6461,-0.97683,-0.4387,-0.15526,0.94248
1.6477,-0.87345,-0.62519,-0.07216,0.94248
1.6494,-0.79129,-0.76815,-0.011356,0.94248
1.6512,-0.71971,-0.88881,0.037723,0.94248
1.653,-0.6546,-0.99528,0.079088,0.94248
1.6549,-0.59386,-1.0917,0.11475,0.94248
1.6569,-0.53622,-1.1805,0.14588,0.94248
1.659,-0.48084,-1.2631,0.17319,0.94248
1.6612,-0.4271,-1.3409,0.19716,0.94248
1.6636,-0.37456,-1.4143,0.21811,0.94248
